App,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
CG - Conference Call Add-On,"August 17, 2018",1.3M,"1,000+",1.3,4.0 and up,Everyone,,,View details,Flag as inappropriate,Dominique Andre Gunia,Visit website,
Somos CG,"February 21, 2020",9.6M,100+,1.5.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Colabra,Visit website,
CG Smart,"August 12, 2016",1.5M,500+,1.4,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Clinical Guard,Visit website,
CG Wizard,"February 28, 2020",1.4M,500+,1.7d,5.0 and up,Everyone,,,View details,Flag as inappropriate,Daniel MAIORANO,Visit website,
CG FM,"January 31, 2018",6.6M,"1,000+",1.0.9,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Osborne Omuya,Visit website,
Best CG views,"February 17, 2020",3.0M,100+,11.1,4.0 and up,Teen,,,View details,Flag as inappropriate,Bird Fly,wazeerlala12@gmail.com,
Bhunaksha CG,"May 7, 2018",4.1M,"100,000+",1.0.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,NIC eGov Mobile Apps,Visit website,
My CG,"October 26, 2018",Varies with device,500+,Varies with device,Varies with device,Teen,"Users Interact, Shares Location",,View details,Flag as inappropriate,GMS ICT Dev,dev-app@gms.or.id,
Best CG Photography,"February 17, 2020",2.9M,500+,11.1,4.0 and up,Teen,,,View details,Flag as inappropriate,Bird Fly,wazeerlala12@gmail.com,
BF CG View Wallpapers,"February 18, 2020",2.7M,"1,000+",11.1,4.0 and up,Teen,,,View details,Flag as inappropriate,Bird Fly,Visit website,
Naidunia: MP News & CG News,"April 4, 2020",15M,"100,000+",4.2,4.2 and up,Everyone,,,View details,Flag as inappropriate,Jagran Prakashan Limited,Visit website,
BF CG Abstract Pictures,"February 18, 2020",2.6M,"5,000+",11.1,4.0 and up,Teen,,,View details,Flag as inappropriate,Bird Fly,Visit website,
CG JOKES - Copy & Share,"March 31, 2020",10M,"10,000+",1.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,MANOJ MOBILE,Visit website,
Chrome Beta,"April 6, 2020",Varies with device,"10,000,000+",81.0.4044.96,Varies with device,Everyone,"Users Interact, Shares Location, Digital Purchases, Unrestricted Internet",,View details,Flag as inappropriate,Google LLC,Visit website,
20 minutes (CH),"March 23, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Teen,"Shares Info, Shares Location",,View details,Flag as inappropriate,20 Minuten,Visit website,
"OurHome – chores, rewards, groceries and calendar","January 31, 2018",Varies with device,"500,000+",3.13.2,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,OurHome,Visit website,
CH info,"June 20, 2019",1.8M,"10,000+",6.3,5.0 and up,Everyone,,,View details,Flag as inappropriate,Schweizerische Bundeskanzlei,Visit website,
FAV KWGT,"February 25, 2019",87M,"5,000+",10,5.0 and up,Everyone,,,View details,Flag as inappropriate,ppick CH.,pick12nick@gmail.com,
20 Minuten (CH),"March 25, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Everyone 10+,"Users Interact, Shares Info, Shares Location",,View details,Flag as inappropriate,20 Minuten,Visit website,
"Reading Race 1b: sh, ch words","January 8, 2016",76M,50+,1.01,4.0 and up,Everyone,,,View details,Flag as inappropriate,PLD Organisation Pty. Ltd.,Visit website,
Calvary.ch App,"April 8, 2020",21M,"1,000+",5.3.0,4.4 and up,Teen,,,View details,Flag as inappropriate,Subsplash Inc,Visit website,
Speech Therapy: CH,"October 8, 2016",14M,10+,1.0,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Speech Therapy Talk,Visit website,
retteMi.ch,"August 14, 2019",2.7M,"10,000+",1.3.8,4.0 and up,Everyone,Shares Location,,View details,Flag as inappropriate,Kantonspolizei St. Gallen,Visit website,
Chrome Canary (Unstable),"April 12, 2020",Varies with device,"1,000,000+",84.0.4112.0,Varies with device,Everyone,"Users Interact, Shares Location, Digital Purchases, Unrestricted Internet",,View details,Flag as inappropriate,Google LLC,Visit website,
ch-mm Dict,"July 18, 2014",1.4M,10+,1.0,2.3 and up,Everyone,,,View details,Flag as inappropriate,Win Hlaing Tun,Visit website,
waut.ch!,"March 4, 2020",1.5M,100+,144c0854-b910-4bec-a2b2-8fe2b0113e43,2.0 and up,Everyone,,,View details,Flag as inappropriate,openand.org,Visit website,
Chrome Dev,"April 8, 2020",Varies with device,"5,000,000+",83.0.4103.7,Varies with device,Everyone,"Users Interact, Shares Info, Shares Location, Unrestricted Internet",,View details,Flag as inappropriate,Google LLC,Visit website,
Threema,"April 7, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Everyone,Users Interact,,View details,Flag as inappropriate,Threema GmbH,Visit website,
Battery HD Pro,"March 29, 2020",Varies with device,"100,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,smallte.ch,Visit website,
DRAGON QUEST IV,"January 22, 2020",49M,"10,000+",1.1.1,5.0 and up,Everyone,,,View details,Flag as inappropriate,"SQUARE ENIX Co.,Ltd.",Android_support@square-enix.com,
swissinfo.ch,"December 2, 2019",12M,"50,000+",3.6.1,4.4 and up,Everyone 10+,,,View details,Flag as inappropriate,swissinfo.ch,Visit website,
Automagic * Automation,"March 11, 2019",8.1M,"10,000+",1.37.0,4.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Gridvision Engineering GmbH,Visit website,
FlashLight HD LED Pro,"April 2, 2020",Varies with device,"50,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,smallte.ch,Visit website,
Students.ch,"June 11, 2018",Varies with device,"1,000+",1.0.12,4.0 and up,Teen,Users Interact,,View details,Flag as inappropriate,Energy Schweiz,Visit website,
CH Kadels,"September 12, 2019",11M,"5,000+",1.0.11,4.1 and up,Everyone,,,View details,Flag as inappropriate,"iMobile Solutions, Inc.",Visit website,
Sermon on Proverbs CH Spurgeon,"July 29, 2016",3.1M,"10,000+",1.0.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Yesudas Solomon,Visit website,
Pixxy KWGT,"May 16, 2019",94M,"10,000+",5.6,5.0 and up,Everyone,,,View details,Flag as inappropriate,ppick CH.,pick12nick@gmail.com,
usgang.ch,"June 11, 2018",Varies with device,"100,000+",3.0.7,4.1 and up,Everyone 10+,,,View details,Flag as inappropriate,Energy Schweiz,Visit website,
"Startupticker.ch News, Events","July 23, 2018",10M,100+,2.0.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Apps with love,Visit website,
Green Build - An unofficial Travis CI client,"June 6, 2018",3.2M,500+,1.2.1,5.0 and up,Everyone,,,View details,Flag as inappropriate,Keval Patel,greenbuildapp@gmail.com,
Valmet CI Tool,"March 13, 2018",3.7M,"1,000+",0.0.6,4.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Jakamo,Visit website,
CI Remote for Go,"July 2, 2018",Varies with device,500+,Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Damien Laureaux,Visit website,
myNaida CI,"October 16, 2019",58M,"10,000+",3.1.6,5.0 and up,Everyone,,,View details,Flag as inappropriate,Advanced Bionics LLC,Visit website,
CI MOBI,"October 7, 2017",42M,"5,000+",1.2.1,4.0 and up,Everyone,,,View details,Flag as inappropriate,Raycasts,Visit website,
Paris ci la Sortie du Métro,"November 25, 2019",32M,"10,000+",4.53,4.1 and up,Everyone,,,View details,Flag as inappropriate,P UNG,Visit website,
CI 174 Gray Icon Pack,"May 21, 2018",46M,100+,1.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,Coastal Images,Visit website,
CI Crew,"March 8, 2018",30M,100+,0.7,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Total Loyalty Solutions,Visit website,
Pharmacy CI - Pharmacies de garde Côte d'Ivoire,"May 17, 2019",3.9M,"100,000+",5.3.0 Phoenix,4.0.3 and up,Everyone,Users Interact,,View details,Flag as inappropriate,CINETCORE,Visit website,
IQ Test,"February 29, 2020",2.2M,"500,000+",2.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Aliaksandr Uvarau,Visit website,
1st Fed CI Mobile Banking,"September 29, 2016",31M,500+,6.0.0.1775,4.1 and up,Everyone,,,View details,Flag as inappropriate,1st Federal S&L Assn. of Central IL,Visit website,
CI Dictionary,"September 1, 2015",3.2M,"1,000+",1.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Cook Islands Ministry of Education,Visit website,
RGN CI-Control,"October 31, 2019",6.8M,100+,1.4,4.1 and up,Everyone,,,View details,Flag as inappropriate,RGN brand identity services,Visit website,
CI View,"March 7, 2019",12M,100+,3.0.0,4.3 and up,Everyone,,,View details,Flag as inappropriate,Cloud Intelligence Pty Ltd,Visit website,
CI Attendance,"August 17, 2013",172k,5+,1.0.0,3.1 and up,Everyone,,,View details,Flag as inappropriate,Causal Idea,Visit website,
Annonces.ci,"April 5, 2016",5.2M,"5,000+",1.0.3,3.0 and up,Everyone,"Users Interact, Shares Info",,View details,Flag as inappropriate,Weblogy,Visit website,
CI Stream,"April 1, 2020",17M,"1,000+",2.17.1,5.0 and up,Everyone,"Users Interact, Digital Purchases",,View details,Flag as inappropriate,CI Stream,Visit website,
Majestic Cinema CI,"June 5, 2019",13M,"10,000+",1.3.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,MAJESTIC ONE,Visit website,
Bonjour 2017 Abidjan CI ❤❤❤❤❤,"February 16, 2017",3.3M,"10,000+",1.0.2.0,2.0 and up,Everyone,,,View details,Flag as inappropriate,Abst,apps.abst@gmail.com,
Pharmacie de Garde CI et Prix,"April 6, 2020",11M,"100,000+",6.0.1.0,4.0 and up,Mature 17+,,,View details,Flag as inappropriate,Eric BROU,ingenieurbrou@hotmail.com,
CI Capital - Dynamic,"September 19, 2018",5.6M,100+,1.0.17.0423,5.0 and up,Everyone,,,View details,Flag as inappropriate,Cicapital,Visit website,
Chicken Invaders 3,"December 30, 2019",18M,"5,000,000+",1.36ggl,5.0 and up,Everyone,,$1.24 - $2.49 per item,View details,Flag as inappropriate,Betacom (UK) S.A.,Visit website,
CircleCI Viewer,"April 11, 2019",3.2M,"1,000+",1.3.3,4.4 and up,Everyone,,,View details,Flag as inappropriate,FS Ryan,fsryan.developer@gmail.com,
SimCity BuildIt,"March 10, 2020",117M,"50,000,000+",1.31.1.92799,4.0.3 and up,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,ELECTRONIC ARTS,Visit website,
Nur təfsiri 1-ci cild,"April 27, 2017",1.4M,"1,000+",1.0,1.6 and up,Everyone,,,View details,Flag as inappropriate,islam mobile,Visit website,
Calculate My IQ,"April 3, 2017",7.2M,"10,000+",,2.3 and up,Everyone,,,View details,Flag as inappropriate,Bargo,Visit website,
CI CAFETERIAS UBER,"June 11, 2018",2.8M,100+,18.6.5,4.4 and up,Everyone,,,View details,Flag as inappropriate,SicSoft SA,Visit website,
CI On The Go,"March 17, 2020",20M,500+,v4.35.2.1,5.0 and up,Everyone,Shares Info,,View details,Flag as inappropriate,"Nexstar Broadcasting, Inc.",Visit website,
CJ Fitness,"March 30, 2020",17M,10+,1.4.7,5.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Charlie Johnson Fitness,apps@mypthub.net,
CJ: Strike Back,"August 17, 2012",6.9M,"1,000,000+",1.0.9,2.0.1 and up,Everyone,,,View details,Flag as inappropriate,Droidhen Casual,Visit website,
CJ Fallon eBook Reader,"February 13, 2014",14M,"10,000+",2.2.1,3.0 and up,Everyone,,,View details,Flag as inappropriate,CJ Fallon Limited,Visit website,
Grand Theft Auto: San Andreas,"April 13, 2019",15M,"1,000,000+",2.00,7.0 and up,Mature 17+,,,View details,Flag as inappropriate,Rockstar Games,Visit website,
CJ's Tire & Automotive,"October 2, 2018",34M,"1,000+",3.0,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Total Loyalty Solutions,Visit website,
CJ Camcorder,"September 8, 2018",4.6M,"1,000+",4.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,Chanchal Jati,jatichanchal@gmail.com,
CJ'S TIRE AND AUTO INC.,"April 1, 2019",12M,100+,1.0.2,4.1 and up,Everyone,"Shares Location, Unrestricted Internet",,View details,Flag as inappropriate,Stax Creative,Visit website,
CJ WOW SHOP,"March 12, 2020",4.5M,"1,000,000+",1.2.5,5.0 and up,Everyone,,,View details,Flag as inappropriate,CJ WOW SHOP,Visit website,
Gold Teeth Photo Editor,"July 12, 2017",30M,"10,000+",1.0.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,PREMIUM PHOTO STUDIO,thanhltnapp@gmail.com,
CJ VLC HD Remote (+ Stream),"November 13, 2013",1.3M,"1,000,000+",1.2.4,2.1 and up,Everyone,,,View details,Flag as inappropriate,Codejugglers,Visit website,
Miami Crime Vice Town,"April 2, 2020",85M,"10,000,000+",2.2.1,4.1 and up,Mature 17+,,$0.99 - $99.99 per item,View details,Flag as inappropriate,Naxeex LLC,Visit website,
CJ Poker Odds Calculator,"January 30, 2011",116k,"50,000+",1.2,1.6 and up,Everyone,,,View details,Flag as inappropriate,CJ Cheng,chenjungcheng@gmail.com,
The CJ Rubric,"January 21, 2020",41M,100+,The CJ Rubric 7.32.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,BH App Development Ltd,Visit website,
Pekalongan CJ,"July 21, 2018",5.9M,0+,0.0.1,4.4 and up,Teen,Users Interact,,View details,Flag as inappropriate,Ngoding Bareng,Visit website,
C J Academy,"April 2, 2018",5.2M,10+,1.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,I Am First,Visit website,
Grand Gangsters 3D,"November 8, 2019",21M,"50,000,000+",2.2,4.0 and up,Teen,In-Game Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,Doodle Mobile Ltd.,Visit website,
Sir C J New Primary School,"July 1, 2019",14M,100+,2.0.4,5.0 and up,Everyone,,,View details,Flag as inappropriate,Concept Virtual Learning Pvt Ltd,Visit website,
Gang Wars of San Andreas,"March 31, 2020",Varies with device,"5,000,000+",Varies with device,5.0 and up,Mature 17+,Digital Purchases,$1.49 - $99.99 per item,View details,Flag as inappropriate,Zippy Games,playfreegamesgp@gmail.com,
CJ Infinity,"January 5, 2018",16M,10+,1.1,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,CJ Infinity HK Limited,Visit website,
CJmall,"March 30, 2020",17M,"10,000,000+",6.7.7,4.1 and up,Everyone,"Users Interact, Shares Info",,View details,Flag as inappropriate,CJ ENM,Visit website,
CJ Auto école,"June 24, 2014",12M,50+,1.0,2.2 and up,Everyone,,,View details,Flag as inappropriate,AppsVision,Visit website,
Courier Journal,"March 12, 2020",74M,"10,000+",5.24.1,5.0 and up,Everyone 10+,Digital Purchases,$4.99 - $13.00 per item,View details,Flag as inappropriate,Gannett,Visit website,
San Andreas Crime City Gangster 3D,"March 6, 2020",57M,"5,000,000+",2.3,4.1 and up,Teen,Digital Purchases,$4.49 - $119.99 per item,View details,Flag as inappropriate,Redcorner Games,redcornergames@gmail.com,
Company Kitchen,"January 18, 2019",8.0M,"50,000+",2.1.0 (19.01.16),4.0 and up,Everyone,,,View details,Flag as inappropriate,Company Kitchen,Visit website,
Can Knockdown,"July 11, 2018",38M,"10,000,000+",1.38,4.1 and up,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,Infinite Dreams,Visit website,
CK 初一 十五,"July 3, 2013",153k,"10,000+",1.0.12,2.1 and up,Everyone,,,View details,Flag as inappropriate,CKroid,Visit website,
211:CK,"April 11, 2018",38M,10+,1.3,4.1 and up,Teen,,,View details,Flag as inappropriate,Side B Gaming,Visit website,
ck-modelcars Shop,"March 2, 2020",9.1M,"10,000+",5.41.3,5.0 and up,Everyone,,,View details,Flag as inappropriate,ck-modelcars Christoph Krombach e.K.,Visit website,
Brainf*ck Interpreter,"December 31, 2019",Varies with device,"1,000+",Varies with device,Varies with device,Mature 17+,,,View details,Flag as inappropriate,Tein van der Lugt,teinvdlugt.developer@gmail.com,
ck-modelcars-UK Shop,"March 2, 2020",9.1M,"5,000+",5.41.3,5.0 and up,Everyone,,,View details,Flag as inappropriate,ck-modelcars Christoph Krombach e.K.,Visit website,
CK Multimedia - Gaming Accessories,"February 3, 2017",2.0M,500+,1.5,3.0 and up,Everyone,,,View details,Flag as inappropriate,Mices Technology,Visit website,
CK SKILLZ,"February 19, 2020",5.4M,100+,4.1.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,MyStudio Academy,Visit website,
CKZ ORIGINS,"October 28, 2013",10M,"1,000,000+",2.0.1,2.1 and up,Mature 17+,Digital Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,Glu,Visit website,
211:CK Lite,"September 22, 2017",39M,10+,1.0,4.1 and up,Mature 17+,,,View details,Flag as inappropriate,Side B Gaming,Visit website,
CK Life,"February 26, 2020",61M,500+,2.4.8,7.0 and up,Teen,"Users Interact, Shares Location",,View details,Flag as inappropriate,Comfort Keepers,Visit website,
USMLE Step 2 CK Flashcards,"May 26, 2014",40M,50+,2.47,2.2 and up,Everyone,,,View details,Flag as inappropriate,Virtual Flashcards,Visit website,
USMLE Step 2 CK Cards Lite,"May 20, 2014",1.5M,"5,000+",2.46,2.2 and up,Everyone,,,View details,Flag as inappropriate,Virtual Flashcards,Visit website,
Company Kitchen Inventory,"July 16, 2015",2.3M,"1,000+",2.38,4.0 and up,Everyone,,,View details,Flag as inappropriate,Company Kitchen,Visit website,
CONTRACT KILLER: ZOMBIES,"December 1, 2011",13M,"5,000,000+",1.1.0,2.1 and up,Teen,Digital Purchases,$4.99 - $99.99 per item,View details,Flag as inappropriate,Glu,Visit website,
Can Knockdown 3,"August 26, 2015",19M,"10,000,000+",1.31,4.0 and up,Everyone,Digital Purchases,$1.99 per item,View details,Flag as inappropriate,Infinite Dreams,Visit website,
Fu*** Weather (Funny Weather),"March 13, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Mature 17+,"Users Interact, Shares Location, In-App Purchases",$0.99 - $21.99 per item,View details,Flag as inappropriate,ZsuiwaL,Visit website,
OB-GYN USMLE Stp2 CK 300 Q & A,"May 16, 2015",4.9M,"10,000+",1.2,2.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Top of Learning,Top.of.learning@gmail.com,
CK Active,"February 27, 2018",9.7M,50+,3.0.6,4.0 and up,Everyone,,,View details,Flag as inappropriate,CSI Software Mobile,Visit website,
cloudLibrary,"January 13, 2020",Varies with device,"500,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,Bibliotheca Ltd,Visit website,
CL REPL,"August 26, 2019",Varies with device,"5,000+",1.0.33,Varies with device,Everyone,,,View details,Flag as inappropriate,PLS.153,Visit website,
CL Clock,"February 26, 2020",2.9M,"5,000+",2.0.5,4.4 and up,Everyone,,,View details,Flag as inappropriate,Everbrite LLC,Visit website,
CL Keyboard - Myanmar Keyboard (No Ads),"June 13, 2018",3.2M,"50,000+",1.1.3,4.3 and up,Everyone,,,View details,Flag as inappropriate,Ciaolink Apps,Jk.funny@gmail.com,
Cl-app!,"May 2, 2013",353k,"10,000+",1.1.11,2.0 and up,Everyone,,,View details,Flag as inappropriate,clapptomaniacs,Visit website,
Postings (Craigslist Search App),"August 31, 2018",14M,"5,000,000+",4.1.3,5.0 and up,Everyone 10+,,$1.99 - $2.99 per item,View details,Flag as inappropriate,"Trixiesoft, Inc",Visit website,
